epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8414,0.84754,5.72806,1.25218,0.46442,0.45833,0.40432,0.34553,0.56625,7.30764,0.99394,0.00018,0.00018,0.00018
2,28.4384,0.76264,2.38731,1.10809,0.8643,0.59375,0.70722,0.52319,0.84725,9.45845,1.204,0.000378495,0.000378495,0.000378495
3,36.6758,0.78286,1.24594,1.1024,0.63446,0.67708,0.68561,0.42237,1.00176,14.9711,1.98179,0.000575406,0.000575406,0.000575406
4,47.1045,0.82093,0.85521,1.13814,0.063,0.34375,0.03652,0.01535,2.01507,17.2628,3.48313,0.000770734,0.000770734,0.000770734
5,55.7226,0.91561,0.83289,1.15827,0.00325,0.41667,0.00279,0.0006,3.73936,inf,65.3456,0.000964477,0.000964477,0.000964477
6,66.2843,0.89406,0.87606,1.15264,0.0003,0.01042,2e-05,2e-05,3.47869,173.745,7.41141,0.00115664,0.00115664,0.00115664
7,74.1667,0.85411,0.75934,1.1166,4e-05,0.01042,2e-05,1e-05,nan,nan,nan,0.00134721,0.00134721,0.00134721
8,83.6174,0.83223,0.75353,1.13382,0.01611,0.03125,0.0019,0.00047,4.19723,16.2427,7.96583,0.0015362,0.0015362,0.0015362
9,91.9967,0.84983,0.70911,1.13454,0.16298,0.34077,0.0799,0.033,2.33231,12.1934,8.94929,0.00172361,0.00172361,0.00172361
10,100.818,0.82822,0.65567,1.10447,0.41191,0.47917,0.36149,0.22272,1.33824,9.11667,1.99602,0.00190943,0.00190943,0.00190943
11,109.556,0.81909,0.69362,1.12404,0.00983,0.08333,0.00203,0.00126,3.31282,14.8932,10.001,0.0019208,0.0019208,0.0019208
12,117.751,0.86926,0.72219,1.14854,0.01611,0.07292,0.00436,0.00271,nan,nan,nan,0.00191288,0.00191288,0.00191288
13,127.183,0.81891,0.63271,1.1278,0.03104,0.13542,0.00841,0.00511,nan,nan,nan,0.00190496,0.00190496,0.00190496
14,135.031,0.82106,0.62766,1.11186,0.02574,0.22917,0.0088,0.00354,nan,nan,nan,0.00189704,0.00189704,0.00189704
15,145.024,0.81844,0.64597,1.10288,0.02676,0.29167,0.01287,0.00929,nan,nan,nan,0.00188912,0.00188912,0.00188912
16,152.713,0.79712,0.62248,1.10843,0.19878,0.22917,0.10457,0.07863,nan,nan,nan,0.0018812,0.0018812,0.0018812
17,163.032,0.82985,0.62801,1.13982,0.00374,0.08333,0.00079,0.00061,nan,nan,nan,0.00187328,0.00187328,0.00187328
18,170.719,0.79434,0.59019,1.07823,0.2197,0.19792,0.12188,0.09438,2.12694,18.4826,3.26842,0.00186536,0.00186536,0.00186536
19,180.712,0.79448,0.62558,1.10704,0.93779,0.35417,0.3867,0.28868,1.82381,2.87516,2.26655,0.00185744,0.00185744,0.00185744
20,189.114,0.81869,0.5967,1.09794,0.91841,0.77083,0.87816,0.65459,0.87171,1.59503,1.1731,0.00184952,0.00184952,0.00184952
21,198.659,0.79965,0.59944,1.0987,0.89241,0.73958,0.82111,0.59906,0.98012,1.14783,1.24691,0.0018416,0.0018416,0.0018416
22,206.904,0.76521,0.56294,1.07079,0.84579,0.85697,0.93374,0.71956,0.82392,0.78141,1.14654,0.00183368,0.00183368,0.00183368
23,215.872,0.76103,0.54982,1.06764,0.63116,0.5625,0.61081,0.43304,1.2194,1.37918,1.37022,0.00182576,0.00182576,0.00182576
24,224.519,0.71813,0.55312,1.04238,0.54869,0.32292,0.35741,0.24481,1.74641,3.20898,2.01103,0.00181784,0.00181784,0.00181784
